state,total_enrolment,total_updates,avg_mpi,max_mpi
Uttar Pradesh,729301,8547707,17.615861407379494,720.0
Maharashtra,296316,8223858,56.02002643361057,5541.0
Madhya Pradesh,406462,3969233,10.874268917181658,563.0
Bihar,378630,3968572,20.28701188001388,1212.0
Rajasthan,292991,3304727,14.126968848962257,443.25
West Bengal,296355,3301691,20.819645537572775,1548.0
Tamil Nadu,185021,2691489,22.590829072418302,2420.5
Gujarat,176583,2337690,15.80572256868952,702.0
Andhra Pradesh,108149,1984101,25.82974536619783,1569.5
Delhi,83139,1880489,19.179041542723926,816.3333333333334
Telangana,115700,1678344,21.892541273540196,1972.5
Chhattisgarh,83774,1629997,26.901057132766056,349.0
Karnataka,168319,1538288,11.972418026839103,662.0
Odisha,99781,1221670,19.882730756195073,1033.0
Punjab,64243,1176943,23.55503954107291,498.0
Jharkhand,120690,1080126,13.800360795659573,515.0
Haryana,81876,1068952,16.897888580081553,291.0
Assam,145300,1009043,12.430914398016137,911.0
Kerala,62475,835401,20.798433172831352,1175.5
Uttarakhand,31129,515130,19.11533639337286,311.5
Jammu and Kashmir,39892,396516,13.936481224829793,476.5
Manipur,8568,326890,46.43540278210015,734.3333333333334
Himachal Pradesh,14679,207143,17.40956612110784,134.33333333333334
Tripura,8622,128851,17.909270553543397,359.5
Meghalaya,17891,58164,4.902434759032764,253.5
Chandigarh,2235,52428,20.922987454534763,193.27118644067798
Nagaland,4965,44300,9.319200397660643,60.5
Goa,1901,38664,26.169539211383952,236.5
Orissa,3178,37874,10.469603468167607,87.0
Arunachal Pradesh,3034,36706,12.94340617692583,93.0
Mizoram,3541,34171,10.113900398175046,55.42857142857143
Puducherry,1488,30286,23.722258186751848,133.5
Pondicherry,1095,17337,15.591021317633162,54.0
Sikkim,1297,13472,9.425304551815463,38.0
Dadra and Nagar Haveli,559,10724,20.631314870229676,70.66666666666667
Andaman and Nicobar Islands,309,6359,18.183321179848956,79.5
Ladakh,540,2913,6.816893707672592,35.5
Lakshadweep,175,1819,10.312960705960707,24.0
Daman and Diu,88,1311,10.146904761904763,35.5
Dadra and Nagar Haveli and Daman and Diu,96,1155,8.55133412042503,20.0
Andaman & Nicobar Islands,83,849,6.91950354609929,20.5
Jammu & Kashmir,57,187,2.200490196078431,6.5
Daman & Diu,10,126,6.777777777777778,16.5
Dadra & Nagar Haveli,14,110,3.9285714285714284,6.5
West  Bengal,3,9,1.5,1.5
Westbengal,1,4,2.0,2.0
West Bangal,1,3,1.5,1.5
andhra pradesh,1,3,1.5,1.5
West bengal,1,2,1.0,1.0
